scenario_id,cell_address,cell_label,excel_value,mvp_value,abs_diff,rel_diff,passed,matched_error,flagged_matched_error
canonical:Borvelia:baseline,Outputs!B12,output_baseline[year=1],61.28985507246378,61.28985507246378,0.0,0.0,True,False,False
canonical:Borvelia:baseline,Outputs!C12,output_baseline[year=2],62.0859413288525,62.0859413288525,0.0,0.0,True,False,False
canonical:Borvelia:baseline,Outputs!D12,output_baseline[year=3],62.38587341256677,62.38587341256677,0.0,0.0,True,False,False
canonical:Borvelia:baseline,Outputs!E12,output_baseline[year=4],62.18725444354536,62.18725444354536,0.0,0.0,True,False,False
canonical:Borvelia:baseline,Outputs!F12,output_baseline[year=5],61.487675962596306,61.487675962596306,0.0,0.0,True,False,False
canonical:Borvelia:baseline,Outputs!B13,output_shocked[year=1],61.28985507246378,61.289855072463766,1.4210854715202004e-14,2.3186308237146796e-16,True,False,False
canonical:Borvelia:baseline,Outputs!C13,output_shocked[year=2],62.0859413288525,62.08594132885249,7.105427357601002e-15,1.1444502902783528e-16,True,False,False
canonical:Borvelia:baseline,Outputs!D13,output_shocked[year=3],62.38587341256677,62.38587341256677,0.0,0.0,True,False,False
canonical:Borvelia:baseline,Outputs!E13,output_shocked[year=4],62.18725444354536,62.18725444354536,0.0,0.0,True,False,False
canonical:Borvelia:baseline,Outputs!F13,output_shocked[year=5],61.487675962596306,61.487675962596306,0.0,0.0,True,False,False
canonical:Borvelia:baseline,Outputs!B14,output_delta[year=1],0.0,-1.4210854715202004e-14,1.4210854715202004e-14,inf,True,False,False
canonical:Borvelia:baseline,Outputs!C14,output_delta[year=2],0.0,-7.105427357601002e-15,7.105427357601002e-15,inf,True,False,False
canonical:Borvelia:baseline,Outputs!D14,output_delta[year=3],0.0,0.0,0.0,inf,True,False,False
canonical:Borvelia:baseline,Outputs!E14,output_delta[year=4],0.0,0.0,0.0,inf,True,False,False
canonical:Borvelia:baseline,Outputs!F14,output_delta[year=5],0.0,0.0,0.0,inf,True,False,False
canonical:Borvelia:growth_shock,Outputs!B12,output_baseline[year=1],61.28985507246378,61.28985507246378,0.0,0.0,True,False,False
canonical:Borvelia:growth_shock,Outputs!C12,output_baseline[year=2],62.0859413288525,62.0859413288525,0.0,0.0,True,False,False
canonical:Borvelia:growth_shock,Outputs!D12,output_baseline[year=3],62.38587341256677,62.38587341256677,0.0,0.0,True,False,False
canonical:Borvelia:growth_shock,Outputs!E12,output_baseline[year=4],62.18725444354536,62.18725444354536,0.0,0.0,True,False,False
canonical:Borvelia:growth_shock,Outputs!F12,output_baseline[year=5],61.487675962596306,61.487675962596306,0.0,0.0,True,False,False
canonical:Borvelia:growth_shock,Outputs!B13,output_shocked[year=1],61.28985507246378,61.289855072463766,1.4210854715202004e-14,2.3186308237146796e-16,True,False,False
canonical:Borvelia:growth_shock,Outputs!C13,output_shocked[year=2],63.29945741415009,63.299457414150076,1.4210854715202004e-14,2.2450199884375753e-16,True,False,False
canonical:Borvelia:growth_shock,Outputs!D13,output_shocked[year=3],64.85855735045921,64.8585573504592,1.4210854715202004e-14,2.1910531617924414e-16,True,False,False
canonical:Borvelia:growth_shock,Outputs!E13,output_shocked[year=4],65.9560587630321,65.95605876303209,1.4210854715202004e-14,2.1545942831816212e-16,True,False,False
canonical:Borvelia:growth_shock,Outputs!F13,output_shocked[year=5],66.58059223010186,66.58059223010184,1.4210854715202004e-14,2.1343839457134045e-16,True,False,False
canonical:Borvelia:growth_shock,Outputs!B14,output_delta[year=1],0.0,-1.4210854715202004e-14,1.4210854715202004e-14,inf,True,False,False
canonical:Borvelia:growth_shock,Outputs!C14,output_delta[year=2],1.2135160852975915,1.2135160852975773,1.4210854715202004e-14,1.1710479067706024e-14,True,False,False
canonical:Borvelia:growth_shock,Outputs!D14,output_delta[year=3],2.472683937892441,2.472683937892427,1.4210854715202004e-14,5.7471375526119344e-15,True,False,False
canonical:Borvelia:growth_shock,Outputs!E14,output_delta[year=4],3.7688043194867404,3.7688043194867262,1.4210854715202004e-14,3.770653371872947e-15,True,False,False
canonical:Borvelia:growth_shock,Outputs!F14,output_delta[year=5],5.092916267505551,5.092916267505537,1.4210854715202004e-14,2.7903177607438477e-15,True,False,False
canonical:Borvelia:interest_shock,Outputs!B12,output_baseline[year=1],61.28985507246378,61.28985507246378,0.0,0.0,True,False,False
canonical:Borvelia:interest_shock,Outputs!C12,output_baseline[year=2],62.0859413288525,62.0859413288525,0.0,0.0,True,False,False
canonical:Borvelia:interest_shock,Outputs!D12,output_baseline[year=3],62.38587341256677,62.38587341256677,0.0,0.0,True,False,False
canonical:Borvelia:interest_shock,Outputs!E12,output_baseline[year=4],62.18725444354536,62.18725444354536,0.0,0.0,True,False,False
canonical:Borvelia:interest_shock,Outputs!F12,output_baseline[year=5],61.487675962596306,61.487675962596306,0.0,0.0,True,False,False
canonical:Borvelia:interest_shock,Outputs!B13,output_shocked[year=1],61.28985507246378,61.289855072463766,1.4210854715202004e-14,2.3186308237146796e-16,True,False,False
canonical:Borvelia:interest_shock,Outputs!C13,output_shocked[year=2],63.27028635440736,63.27028635440735,1.4210854715202004e-14,2.2460550653430205e-16,True,False,False
canonical:Borvelia:interest_shock,Outputs!D13,output_shocked[year=3],64.79855414074571,64.7985541407457,1.4210854715202004e-14,2.1930820685188925e-16,True,False,False
canonical:Borvelia:interest_shock,Outputs!E13,output_shocked[year=4],65.86373660791348,65.86373660791348,0.0,0.0,True,False,False
canonical:Borvelia:interest_shock,Outputs!F13,output_shocked[year=5],66.45464812018193,66.45464812018193,0.0,0.0,True,False,False
canonical:Borvelia:interest_shock,Outputs!B14,output_delta[year=1],0.0,-1.4210854715202004e-14,1.4210854715202004e-14,inf,True,False,False
canonical:Borvelia:interest_shock,Outputs!C14,output_delta[year=2],1.1843450255548618,1.1843450255548476,1.4210854715202004e-14,1.1998914512723406e-14,True,False,False
canonical:Borvelia:interest_shock,Outputs!D14,output_delta[year=3],2.412680728178941,2.412680728178927,1.4210854715202004e-14,5.890068482425425e-15,True,False,False
canonical:Borvelia:interest_shock,Outputs!E14,output_delta[year=4],3.6764821643681174,3.6764821643681174,0.0,0.0,True,False,False
